"Ticker","Market Cap","Gross Profit Margin","Gross Margin 5Yr Avg","Net Profit Margin","Net Margin 5Yr Avg","FCF / Net Income","Free Cash Flow Margin","FCF Margin 5Yr Avg","Return on Invested Capital","ROIC 5Yr Avg","P/FCF","Forward P/FCF","FCF Yield","Forward FCF Yield","Debt / Equity","Net Debt / EBITDA","Current Ratio","Quick Ratio","EBIT / Interest Expense","Long-term Debt to Assets","Revenue 5Y CAGR","Revenue 10Y CAGR","Net Income 5Y CAGR","Net Income 10Y CAGR","Levered Free Cash Flow 5Y CAGR","Levered Free Cash Flow 10Y CAGR","P/B","EV/EBITDA","EV/EBIT","EV/FCF","Return on Assets","ROA 5Yr Avg","Return on Equity","ROE 5Yr Avg","Operating Margin","Stock-based Comp to Revenue","PEG Ratio","Revenue Forward 3Y CAGR","Shares Out Growth 5Y (CAGR)","Shares Out Growth 10Y (CAGR)","Capital Expenditure","Cash from Operations","P/OCF","Forward P/OCF"
"KLAC","$285.72B","61.4%","60.4%","35.7%","32.5%","85.8%","30.6%","31.1%","46.4%","40.0%","71.3","43.3","1.4%","2.3%","1.1","0.2","3.0","2.0","19.2","0.4","15.2%","16.6%","20.3%","23.3%","12.8%","17.8%","49.0","49.0","52.6","83.4","29.1%","24.5%","95.0%","106.2%","41.7%","2.3%","5.3","18.5%","-3.1%","-1.7%","-$0.39B","$4.40B","64.9","47.9"
"ANET","$222.39B","63.5%","63.0%","38.3%","34.7%","141.9%","54.4%","34.8%","47.3%","52.1%","42.1","45.2","2.4%","2.2%","0.7","-2.9","2.8","2.2","—","0.0","31.6%","26.8%","40.6%","39.7%","49.5%","36.1%","16.5","49.6","50.5","46.1","20.6%","22.9%","31.5%","32.5%","42.8%","4.8%","2.8","24.7%","0.6%","1.4%","-$0.15B","$5.42B","41.0","45.8"
"NOVO B","$215.52B","83.2%","84.0%","37.2%","34.1%","49.5%","18.4%","31.4%","23.2%","27.4%","23.1","26.1","4.3%","3.8%","0.7","0.7","0.8","0.5","38.4","0.2","20.9%","11.5%","23.3%","13.5%","-10.4%","-6.7%","6.9","8.6","9.4","-166.4","24.0%","26.4%","73.3%","80.6%","49.3%","0.4%","-1.3","1.2%","-0.7%","-1.3%","-$8.98B","$18.33B","11.8","11.7"
"HESA.F","$194.04B","71.1%","71.1%","28.3%","29.2%","103.1%","29.2%","29.6%","45.5%","45.6%","35.4","40.5","2.8%","2.5%","0.1","-1.4","5.0","4.0","121.7","0.1","20.2%","12.7%","26.7%","16.6%","31.1%","16.4%","8.8","21.0","23.1","31.7","20.3%","21.3%","26.5%","29.4%","41.8%","0.8%","11.5","7.5%","0.0%","0.0%","-$0.83B","$6.31B","30.7","31.6"
"BKNG","$133.92B","87.0%","83.8%","22.2%","17.7%","146.8%","32.6%","32.2%","44.2%","35.6%","14.8","13.8","6.7%","7.2%","-2.2","0.3","1.1","1.0","8.0","0.6","37.4%","11.3%","54.3%","9.0%","57.7%","11.2%","-15.5","13.0","14.0","16.1","22.4%","17.3%","-83.0%","1,377.9%","35.3%","2.2%","1.6","8.9%","-5.5%","-4.6%","-$0.31B","$9.34B","14.3","13.2"
"SPGI","$124.31B","70.5%","69.2%","30.4%","28.5%","116.3%","35.3%","33.6%","8.5%","7.4%","22.4","21.7","4.5%","4.6%","0.4","1.5","0.7","0.6","22.2","0.2","15.4%","11.3%","14.2%","15.3%","11.5%","15.2%","4.0","18.0","21.1","22.9","7.9%","6.3%","12.9%","10.2%","42.5%","1.4%","5.0","3.3%","4.2%","1.1%","-$0.18B","$5.74B","21.7","21.0"
"FTNT","$111.03B","80.3%","77.9%","27.5%","22.9%","124.6%","34.3%","33.7%","22.1%","21.7%","45.6","26.2","2.2%","3.8%","0.6","-1.2","1.2","1.0","113.7","0.1","21.1%","20.7%","31.8%","72.2%","20.5%","22.7%","112.4","45.9","49.1","53.5","19.3%","17.4%","132.4%","-168.6%","31.0%","4.0%","4.1","12.0%","-2.1%","-1.6%","-$0.37B","$2.80B","39.6","22.5"
"NOW","$94.82B","74.8%","78.0%","11.3%","10.9%","274.3%","31.1%","30.8%","5.0%","7.0%","20.7","18.1","4.8%","5.5%","0.7","0.6","0.7","0.6","80.7","0.2","23.3%","28.6%","57.7%","13.7%","20.3%","28.4%","7.6","33.0","52.0","16.4","6.2%","7.7%","14.2%","17.1%","12.6%","14.8%","3.3","19.9%","0.9%","2.4%","-$0.73B","$5.31B","17.9","15.6"
"CME","$92.16B","100.0%","100.0%","63.4%","58.1%","101.4%","64.2%","58.8%","1.8%","1.8%","19.9","22.5","5.0%","4.4%","0.1","0.2","1.0","0.0","25.4","0.0","8.0%","6.8%","17.4%","12.3%","-15.9%","-6.3%","3.5","21.0","19.3","26.9","2.3%","2.2%","15.8%","12.5%","65.7%","1.4%","2.5","5.9%","0.2%","0.7%","-$0.08B","$4.28B","19.5","22.1"
"ADBE","$84.34B","89.4%","88.4%","28.7%","28.5%","142.2%","40.8%","39.6%","25.7%","23.1%","8.2","10.3","12.2%","9.7%","0.6","0.1","0.8","0.6","35.4","0.2","11.9%","16.9%","5.3%","23.2%","10.9%","20.2%","7.3","8.8","9.3","8.3","24.9%","20.2%","63.0%","42.0%","36.7%","8.1%","0.7","9.8%","-3.6%","-2.2%","-$0.20B","$10.48B","8.0","10.1"
"MCO","$82.49B","75.0%","72.5%","34.3%","29.4%","106.2%","36.4%","30.6%","22.7%","16.9%","27.8","27.9","3.6%","3.6%","2.4","1.5","1.2","1.0","15.0","0.5","7.1%","9.0%","5.9%","12.1%","4.5%","10.7%","27.2","21.9","23.4","29.9","18.5%","12.9%","76.8%","56.2%","46.2%","2.8%","2.4","7.5%","-1.4%","-1.0%","-$0.35B","$3.32B","24.9","24.4"
"ICE","$81.12B","100.0%","100.0%","37.7%","34.0%","118.8%","44.8%","43.7%","2.6%","2.2%","17.4","18.7","5.8%","5.4%","0.7","3.0","1.0","0.0","6.8","0.1","10.7%","11.1%","13.5%","11.5%","11.4%","17.2%","2.7","15.3","18.4","21.5","2.4%","1.7%","13.6%","10.2%","52.1%","2.5%","1.3","7.0%","0.1%","-0.5%","-$0.35B","$5.02B","16.2","17.0"
"MSCI","$40.17B","83.0%","82.3%","40.7%","39.6%","117.7%","47.9%","47.8%","29.7%","25.7%","25.1","27.4","4.0%","3.6%","-2.4","3.2","0.9","0.8","7.2","1.2","12.6%","11.6%","14.1%","18.4%","11.6%","13.6%","-14.9","23.3","25.0","34.3","24.7%","21.1%","-76.0%","-113.1%","55.7%","3.6%","1.9","9.7%","-2.5%","-2.8%","-$0.03B","$1.63B","24.7","25.4"
"CSU","$38.59B","37.4%","36.0%","6.1%","6.8%","367.4%","22.5%","21.8%","9.6%","8.4%","14.1","12.2","7.1%","8.2%","1.2","1.1","0.9","0.8","7.3","0.2","23.7%","20.4%","16.7%","16.4%","11.7%","20.6%","9.9","16.4","21.1","12.6","4.8%","5.9%","18.0%","25.3%","16.3%","0%","1.2","17.0%","0%","0%","-$0.07B","$2.80B","13.8","11.9"
"CBOE","$29.81B","54.1%","47.4%","25.8%","16.3%","220.6%","56.8%","27.0%","14.6%","11.2%","10.9","24.5","9.1%","4.1%","0.3","-0.3","1.4","0.6","31.7","0.1","6.4%","21.9%","22.5%","19.3%","11.6%","15.7%","5.5","16.4","17.5","23.2","12.5%","8.5%","25.1%","17.3%","34.9%","1.1%","0.8","8.1%","-0.4%","2.5%","-$0.08B","$2.80B","10.6","23.2"
"VEEV","$29.17B","75.0%","73.1%","28.4%","24.4%","174.2%","49.4%","40.9%","29.7%","27.9%","17.8","19.5","5.6%","5.1%","0.0","-7.0","4.7","4.7","—","0.0","16.3%","22.4%","18.2%","33.1%","15.8%","25.7%","4.0","21.4","22.3","14.6","11.1%","11.0%","13.9%","13.7%","29.7%","14.5%","2.7","12.8%","1.2%","1.9%","-$0.02B","$1.67B","17.5","19.4"
"FICO","$27.97B","84.2%","79.2%","33.7%","29.7%","118.6%","39.9%","34.5%","56.2%","42.5%","31.1","22.9","3.2%","4.4%","-1.7","3.0","2.2","2.1","7.2","1.8","11.1%","10.3%","22.2%","23.0%","13.5%","17.6%","-13.4","27.0","27.4","36.6","39.1%","30.7%","-47.1%","-60.7%","50.9%","7.3%","0.9","18.9%","-4.2%","-2.9%","-$0.01B","$0.91B","30.8","22.6"
"CPRT","$25.18B","47.5%","46.7%","33.5%","32.6%","86.2%","28.9%","23.6%","29.7%","30.4%","18.8","22.6","5.3%","4.4%","0.0","-2.1","7.6","7.3","—","0.0","13.4%","14.3%","12.9%","20.4%","23.2%","28.8%","2.9","10.8","12.0","17.4","16.1%","18.5%","17.7%","21.1%","37.8%","0.8%","-46.6","4.0%","-0.4%","0.6%","-$0.35B","$1.69B","14.9","17.1"
"FDS","$8.68B","51.4%","52.8%","23.2%","23.7%","125.1%","29.0%","27.8%","15.2%","17.0%","12.2","11.2","8.2%","9.0%","0.8","1.4","0.7","0.6","14.2","0.2","9.3%","8.3%","7.9%","8.2%","10.3%","11.6%","4.3","10.3","13.2","13.4","13.3%","13.2%","27.0%","30.0%","31.0%","3.1%","3.3","6.1%","-1.2%","-1.2%","-$0.12B","$0.83B","10.5","9.6"
